,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
163,100 metros,2016,N/A,10 Mar 2017,108 min,"Biography, Comedy, Drama",Marcel Barrena,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer","Based on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.",Spanish,"Portugal, Spain",5 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BY2JjNTA0OWItMjhlMC00ZTYzLTlhODktODFiNjg3ZTZmNTY4L2ltYWdlXkEyXkFqcGdeQXVyMzkwMTMxNDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"4,086",tt5089786,movie,N/A,N/A,N/A,N/A,True,,
164,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
165,Dügün Dernek 2: Sünnet,2015,N/A,04 Dec 2015,112 min,Comedy,Selçuk Aydemir,Selçuk Aydemir,"Ahmet Kural, Murat Cemcir, Rasim Öztekin, Seher Devrim Yakut","The adventures of the box office sensation, Dügün Dernek (Unconventional Wedding) are all set to continue in Dügün Dernek 2: Sünnet (Unconventional Circumcision). After seeing his son ...",Turkish,Turkey,3 wins.,https://m.media-amazon.com/images/M/MV5BMTc0MjMzMzIwMl5BMl5BanBnXkFtZTgwNTg0NDQxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"7,993",tt5114588,movie,N/A,N/A,N/A,N/A,True,,
166,Dedemin Fisi,2016,N/A,10 Mar 2017,100 min,"Comedy, Family",Meltem Bozoflu,"Eray Akyamaner (screenplay), Sila Cetindag (screenplay), Yilmaz Erdogan (story), Ugur Güvercin (screenplay), Murat Kepez (screenplay), Ayberk Sak (screenplay), Sükrü Özbey (screenplay)","Aziz Aslan, Kivanç Baran Aslan, Onur Atilla, Özgün Aydin",Estranged family members re-unite to determine whether to pull the family patriarch out of life support or not.,Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BODQ2MTk4NzQxN15BMl5BanBnXkFtZTgwNTU3NTU1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"2,645",tt5191238,movie,N/A,N/A,N/A,N/A,True,,
167,Hükümet Kadin 2,2013,N/A,08 Nov 2013,105 min,Comedy,Sermiyan Midyat,Sermiyan Midyat,"Demet Akbag, Ercan Kesal, Sermiyan Midyat, Osman Alkas",Hukumet Kadin 2 is the second installment of the series. The second film goes back to the year 1949 and follows the journey of the main character Xate and her sons and daughter as she ...,Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNzU1NzYyMV5BMl5BanBnXkFtZTgwNTY0OTEyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"3,334",tt3283718,movie,N/A,N/A,BKM Film,N/A,True,,
168,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
169,Buddy Thunderstruck,2017,TV-PG,10 Mar 2017,24 min,"Animation, Action, Comedy, Family",N/A,Ryan Wiesbrock,"Brian Atkinson, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly",The hard-driving trucking adventures of a dog driver and his ferret mechanic sidekick.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BOGJjMzEzYTItZmUzYi00ODFkLTljNGItMGEwMzI0MzZiZjYzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,402,tt6591468,series,,,,,True,2,
170,Incir Reçeli 2,2014,N/A,17 Oct 2014,103 min,"Drama, Romance",Aytaç Agirlar,"Aytaç Agirlar, Aytaç Agirlar","Mehmet Selim Akgul, Onur Bilge, Can Dogan, Levent Salih Güleç","After losing the woman he loves in the original Fig Jam, Metin (Halil Sezai Paracikoglu) finds himself seriously alone. His life is a repetitive round of singing at a bar and grieving for ...",Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BM2Y4ZTdlY2UtYmRhNi00Nzk0LThlZTUtMGZjN2E2OTZkZTdkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"2,928",tt4003046,movie,N/A,N/A,N/A,N/A,True,,
171,Deliha,2014,N/A,14 Nov 2014,107 min,"Comedy, Family, Romance",Hakan Algül,"Gupse Ozay (story), Gupse Ozay","Gupse Ozay, Derya Alabora, Gülsüm Alkan, Caner Alkaya","For the first time in Turkey a comedy actress plays a character of her own creation on screen. Deliha follows the hilarious exploits of a slightly crazy, decidedly droll and genuinely ...",Turkish,Turkey,1 win.,https://m.media-amazon.com/images/M/MV5BMjI5MzQ1OTUxOV5BMl5BanBnXkFtZTgwMzAzNDEwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,"3,419",tt4003066,movie,N/A,N/A,N/A,N/A,True,,
172,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
173,The Butterfly's Dream,2013,N/A,22 Feb 2013,138 min,"Biography, Drama, History, Romance",Yilmaz Erdogan,Yilmaz Erdogan,"Kivanç Tatlitug, Mert Firat, Belçim Bilgin, Farah Zeynep Abdullah","In a small Turkish town, two young tuberculous poets try to survive while publishing their poems. As they both fall in love, their life would never be the same.",Turkish,Turkey,16 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMGI2ZTc4NzQtNmI0OS00ODI0LTgyMmYtZWY1MjJiMzc2NzkzXkEyXkFqcGdeQXVyNjIxMDkyODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"18,212",tt2608224,movie,N/A,N/A,N/A,N/A,True,,
174,Vizontele,2001,N/A,02 Feb 2001,110 min,"Comedy, Drama","Yilmaz Erdogan, Ömer Faruk Sorak",Yilmaz Erdogan,"Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Cem Yilmaz","The film is about the introduction of television to a small village in southeast Anatolia in 1974. Employing a tragicomic language, it tells of the efforts of Emin who is the village idiot ...",Turkish,Turkey,7 wins.,https://m.media-amazon.com/images/M/MV5BMjA2MzM4NjkyMF5BMl5BanBnXkFtZTYwMTQ2ODc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"30,223",tt0270053,movie,N/A,N/A,N/A,N/A,True,,
175,Hükümet Kadin,2013,N/A,01 Feb 2013,99 min,Comedy,Sermiyan Midyat,Sermiyan Midyat,"Demet Akbag, Sermiyan Midyat, Mahir Ipek, Ercan Kesal",One day Midyat's Mayor loses his life in a car accident. His wife Xate must do his job.,Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BMTM5MjI5NDYwM15BMl5BanBnXkFtZTcwNzM3MTA2OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"5,925",tt2645092,movie,N/A,N/A,N/A,N/A,True,,
176,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
177,Çok Filim Hareketler Bunlar,2010,N/A,26 Mar 2010,134 min,Comedy,Ozan Açiktan,"Murat Eken, Zeynep Kocak, Oguzhan Koç, Eser Yenenler","Gülsüm Alkan, Ibrahim Büyükak, Emre Canpolat, Murat Eken",Çok film hareketler bunlar They are a 2010 comedy movie where scenarios and acting are undertaken in BKM group.,Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BMjAwNjczNjIwNV5BMl5BanBnXkFtZTcwMzgyODY5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,"3,142",tt1640202,movie,N/A,N/A,N/A,N/A,True,,
178,The Young Offenders,2016,N/A,16 Sep 2016,83 min,"Adventure, Comedy, Crime, Drama",Peter Foott,Peter Foott,"Alex Murphy, Chris Walley, Hilary Rose, Dominic MacHale",Two teenage boys cycle 160km on stolen bikes pursued by police to find a missing bale of cocaine worth 7 million euro. Set around the real event of Ireland's biggest cocaine seizure in 2007 of 440 million euro.,English,Ireland,11 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNTAwMmU3NzQtNzE3MC00YTAyLTljMWEtOGI2NGQ1MDIwMjgzXkEyXkFqcGdeQXVyMzY3MDMwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.1,"9,563",tt4714568,movie,N/A,"$384,882",Vico Films,N/A,True,,
179,Thithi,2015,N/A,17 Jul 2017,123 min,Drama,Raam Reddy,"Eregowda, Raam Reddy","Thammegowda S., Channegowda, Abhishek H.N., Pooja S.M.","In a remote village in South India, three generations of sons react to the death of Century Gowda, their grandfather, a 101-year-old man. The three story lines intertwine before converging ...",Kannada,"India, USA",12 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMmNmZTAzMGMtODBkOC00MDQwLTg4N2MtOGVkNWZiYzc5NmI1XkEyXkFqcGdeQXVyNjUzNjAyMjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"1,975",tt4881362,movie,N/A,N/A,N/A,N/A,True,,
180,Amy Schumer: The Leather Special,2017,TV-MA,06 Mar 2017,57 min,Comedy,Amy Schumer,Amy Schumer,"Amy Schumer, Kim Caramele","Three minutes into her set, Amy Schumer claims that all good comedians have a ""leather special,"" where they wear all leather and regret it later in their careers--this is hers. Amy muses on...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMGMxYWY1MTktZDFlNC00YjdjLTk5MGMtODEwNTZiY2MxZjk1XkEyXkFqcGdeQXVyNTI3NjIyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,2.9,"8,943",tt6616074,movie,07 Mar 2017,N/A,Netflix,N/A,True,,
181,Force 2,2016,Not Rated,18 Nov 2016,127 min,"Action, Thriller",Abhinay Deo,"Jasmeet K. Reen, Parveez Sheikh","John Abraham, Sonakshi Sinha, Tahir Raj Bhasin, Adil Hussain",ACP Yashvardhan teams up with RAW Agent KK to bring down the mole within RAW.,Hindi,India,1 nomination.,https://m.media-amazon.com/images/M/MV5BYmI0ZmM3ZTItODhlOC00NjcwLWJlNzItNzFmMjIxZDY1MGY0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",N/A,6.2,"4,431",tt5156746,movie,N/A,N/A,Viacom 18 Motion Pictures,N/A,True,,
182,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
183,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
184,Mike Birbiglia: Thank God for Jokes,2017,N/A,28 Feb 2017,70 min,Comedy,"Seth Barrish, Mike Birbiglia",Mike Birbiglia,Mike Birbiglia,Mike Birbiglia tells stories about his life as a semi-famous comedian/filmmaker and reflects on the meaning of good or bad jokes.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjM1NjNjOTUtMzk3Yi00NzZmLTg3NTQtZjE0N2U1MTYyZTViXkEyXkFqcGdeQXVyNDQyODU5MDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"1,941",tt6608034,movie,28 Feb 2017,N/A,Netflix,N/A,True,,
185,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
186,Nila,2016,N/A,01 Mar 2017,96 min,"Drama, Romance",Selvamani Selvaraj,N/A,"Sruthi Hariharan, Sarvesh Sridhar, Vicky Vijai",A young man meets his childhood love one rainy night in the city of dreams. When they both realise that the desire for more can ruin what is special between them do they listen to their ...,Tamil,India,N/A,https://m.media-amazon.com/images/M/MV5BNmZkMDVlZTAtM2M5OS00OTA3LWExM2ItODkxYTY2ZjQzNWRkXkEyXkFqcGdeQXVyNDc1NjcxNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,177,tt5082662,movie,N/A,N/A,N/A,N/A,True,,
187,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
188,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
189,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
190,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
191,People You May Know,2016,TV-MA,28 Feb 2017,101 min,"Comedy, Drama",J.C. Falcón,J.C. Falcón,"Sean Maher, Andrea Grano, Mark Cirillo, Nacho San José","'People You May Know' tells the story of four friends in their 40s in Los Angeles. They will have to confront a new reality when Delia gets pregnant from Joe, the best-friend who happens to be gay.","English, Spanish","USA, Spain",3 wins.,https://m.media-amazon.com/images/M/MV5BZTIyMTU5OWEtZmQ3NS00OGFkLTk2MzUtMDZjNTdiY2U2NmEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjkwNDIxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,650,tt4696310,movie,27 Sep 2016,N/A,Pony Films,N/A,True,,
192,Jonas and the Backyard Circus,2015,N/A,27 Jul 2018,83 min,Documentary,Paula Gomes,Paula Gomes,N/A,"Jonas is 13 years old and his life's dream is to maintain the circus that he created in his backyard. While he faces this challenge, he will live the adventure of growing up.",Portuguese,Brazil,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjBhN2EyMDYtMzJjNS00MmU1LThjYzItMmVmNzE3MDNlNDVkXkEyXkFqcGdeQXVyMTY3MTIwMTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,41,tt5109324,movie,N/A,N/A,N/A,N/A,True,,
193,Secrets of Great British Castles,2015–,TV-PG,03 Apr 2015,45 min,"Documentary, History",N/A,N/A,"Dan Jones, Christophe Lombardi, Jay Dee","Historian Dan Jones explores the millennium of history behind six of Great Britain's most famous castles: Warwick, Dover, Caernarfon, the Tower of London, Carrickfergus, and Stirling.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZmVhMzcwZDctMzYxNi00MTMxLTljNWItYTZmZmIzNmJhNGE2XkEyXkFqcGdeQXVyMjU1OTc2MTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,667,tt5181284,series,,,,,True,2,
194,Operações Especiais,2015,N/A,15 Oct 2015,99 min,"Action, Crime",Tomas Portella,"Mauro Lima, Tomas Portella, Martina Rupp, Francisco Slade (additional creative writing)","Cleo, Fabrício Boliveira, Thiago Martins, Marcos Caruso",A group of honest police is sent to a country town to solve the problem of high crime. Soon they solve the problem while newcomer Francis (Cléo Pires) must overcome their limits to prove ...,Portuguese,Brazil,1 nomination.,https://m.media-amazon.com/images/M/MV5BOGZkNmI1ZWEtZGVlNS00NGE1LWJlMjQtNjg0MDQwNjVjNDgwXkEyXkFqcGdeQXVyNTM5NjcwMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,269",tt4058210,movie,N/A,N/A,N/A,N/A,True,,
195,Beauties of the Night,2016,N/A,25 Feb 2017,92 min,Documentary,Maria Jose Cuevas,Maria Jose Cuevas,"Olga Breeskin, Lyn May, Rossy Mendoza, Wanda Seux","An honest portrait of five women who go through the night looking for other possibilities of beauty, while discovering the passing of time, lost youth, the mirage that is fame and the chance for happiness.",Spanish,Mexico,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BYTgxMjNlYmEtMjFjMy00YzMyLTk0Y2UtNjMwZGZhZjUxNDNmXkEyXkFqcGdeQXVyMTg0ODExNDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,414,tt4958426,movie,N/A,N/A,N/A,N/A,True,,
196,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
197,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
198,I Don't Feel at Home in This World Anymore.,2017,TV-MA,24 Feb 2017,93 min,"Comedy, Crime, Drama, Thriller",Macon Blair,Macon Blair,"Melanie Lynskey, Chris Doubek, Marilyn Faith Hickey, Jared Roylance","When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",English,USA,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BYmM5Zjg5ZWEtYmQwOS00NmFmLTgxYzktYTJkZmY3OGM4NDQyXkEyXkFqcGdeQXVyNjk4NjM5Nzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.9,"42,435",tt5710514,movie,24 Feb 2017,N/A,Film Science,N/A,True,,
199,The Reconquest,2016,N/A,30 Sep 2016,108 min,Drama,Jonás Trueba,Jonás Trueba (screenplay by),"Francesco Carril, Itsaso Arana, Candela Recio, Pablo Hoyos","Manuela and Olmo meet again in a future as they had promised fifteen years earlier as teenagers, when they lived their first love.",Spanish,Spain,4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BOTljYmJiNTgtYWM3Ni00YTZkLTg2MDQtMGZjOGFjYzUzY2M2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,647,tt5900208,movie,N/A,N/A,N/A,N/A,True,,
200,Happy New Year,2014,Not Rated,24 Oct 2014,180 min,"Action, Comedy, Drama, Music",Farah Khan,"Althea Kaushal, Farah Khan, Mayur Puri (dialogue)","Deepika Padukone, Shah Rukh Khan, Anupam Kher, Anurag Kashyap",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,Hindi,India,16 wins & 18 nominations.,https://m.media-amazon.com/images/M/MV5BMjEwZGQwZWMtNTU4Zi00YWVlLTlhZTYtZjc2MzJmMGVmMDQwXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}]",N/A,5.0,"32,541",tt2461132,movie,N/A,"$1,219,212",Yash Raj Films,N/A,True,,
201,King Cobra,2016,Not Rated,21 Oct 2016,91 min,"Comedy, Crime, Drama",Justin Kelly,"Justin Kelly (story by), D. Madison Savage (story by), Justin Kelly, Andrew E. Stoner (book), Peter A. Conway (book)","Garrett Clayton, Christian Slater, Molly Ringwald, James Kelley","Veteran gay pornography producer Stephen battles two rival producers over the rights to his underage porn star creation, Brent Corrigan, with deadly results.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTU1Njk2NzMxOF5BMl5BanBnXkFtZTgwMzY4ODUxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.6,"7,512",tt5129682,movie,14 Feb 2017,"$70,569",Yale Productions,N/A,True,,
202,Trevor Noah: Afraid of the Dark,2017,TV-MA,21 Feb 2017,67 min,Comedy,David Paul Meyer,Trevor Noah,Trevor Noah,"Trevor Noah's Netflix one hour standup special. Amazing comedy covering race in America, immigration politics, international relations and more.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTZhNjNjNGUtYTc2Ni00ZDc4LWJjNDMtYjVlOTI5OGI5YzE5XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.2,"3,945",tt6562866,movie,21 Feb 2017,N/A,Netflix,N/A,True,,
203,Secuestro Anonimo,2016,N/A,15 Oct 2016,N/A,Drama,N/A,N/A,"Hugo Stiglitz, Mario Zaragoza, Ernesto Godoy",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzQ4YzYyMDYtZWVlOC00OGYwLTk0NTktMDJiZjQxMTg0YTYwXkEyXkFqcGdeQXVyNjI1NTgyMTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt5065930,movie,N/A,N/A,N/A,N/A,True,,
204,Gantz: O,2016,N/A,14 Oct 2016,95 min,"Animation, Action, Drama, Fantasy, Horror, Sci-Fi, Thriller","Yasushi Kawamura, Keiichi Saitô","Hiroya Oku (manga), Tsutomu Kuroiwa (screenplay)","Chris Jai Alex, Tony Azzolino, Austin Nash Chase, Lucien Dodge","After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZmRiNWVmZDctM2Q2Ny00NzMwLTkwYTItMmU0ZmE5MDUwNTBiL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"10,469",tt5923962,movie,N/A,N/A,N/A,N/A,True,,
205,Dilwale,2015,Not Rated,18 Dec 2015,158 min,"Action, Comedy, Drama, Romance",Rohit Shetty,"Yunus Sajawal (screenplay), Farhad Samji (dialogue), Sajid (dialogue)","Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",Hindi,India,7 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyNzAyNjExN15BMl5BanBnXkFtZTgwNjM0MDczNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",N/A,5.2,"29,901",tt4535650,movie,N/A,N/A,Red Chillies Entertainment,N/A,True,,
206,Rocky Handsome,2016,Not Rated,25 Mar 2016,119 min,"Action, Thriller",Nishikant Kamat,Ritesh Shah (adapted by),"John Abraham, Nishikant Kamat, Sharad Kelkar, Teddy Maurya",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BOGRkNDA0MzItYzk0ZS00YzY4LTk1YjYtMjAyZTM0YWM2YTBkXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,6.8,"6,795",tt3410408,movie,N/A,N/A,Azure Entertainment,N/A,True,,
207,The Memory of Water,2015,N/A,27 Aug 2015,88 min,"Drama, Romance",Matías Bize,"Matías Bize (screenplay by), Julio Rojas (screenplay by)","Elena Anaya, Benjamín Vicuña, Néstor Cantillana, Sergio Hernández","When the accidental death of a couple's young son sends them grieving in opposite directions, they're forced to re-examine their life and marriage.",Spanish,"Chile, Spain, Argentina, Germany",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNDM4MzM4NzUwNl5BMl5BanBnXkFtZTgwNzEyNDU3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,517,tt4341864,movie,N/A,N/A,N/A,N/A,True,,
208,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
209,Katherine Ryan: In Trouble,2017,TV-MA,14 Feb 2017,63 min,Comedy,Colin Dench,Katherine Ryan,Katherine Ryan,"Canadian comic Katherine Ryan explains the perks of dating younger men. She talks about her unusual relationships, living in the hometown she hates and how she once enraged an entire nation.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjMyOTIzNzItZTA0Ny00ZWRhLTk2NDMtYmQwYzUwZDllMjlhXkEyXkFqcGdeQXVyNTM0MTIyMjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,577",tt6540084,movie,14 Feb 2017,N/A,Netflix,N/A,True,,
210,Girlfriend's Day,2017,TV-MA,14 Feb 2017,65 min,"Comedy, Drama",Michael Paul Stephenson,"Eric Hoffman, Bob Odenkirk, Philip Zlotorynski","Bob Odenkirk, Amber Tamblyn, Stacy Keach, Alex Karpovsky","In a city where greeting card writers are celebrated like movie stars, Romance writer Ray used to be the king. In trying to recapture the feelings that once made him the greatest, he gets ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTVjYWQyZWUtMWI5ZS00NDEwLWJjM2ItZTlmNGJmNDViMTU2L2ltYWdlXkEyXkFqcGdeQXVyNjE4ODA3NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,5.2,"3,121",tt2962984,movie,14 Feb 2017,N/A,Netflix,N/A,True,,
211,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
212,Cyborg 009: Call of Justice,2017–,N/A,N/A,25 min,"Animation, Action, Sci-Fi",N/A,N/A,"Risa Taneda, Mitsuaki Madono, Keisuke Komoto, Ray Chase","The story depicts Shimamura Joe and the other cyborgs' struggle with the Bresudo, a group of people who possess superhuman powers and intellect, and have manipulated human history since ancient times.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNjYxODczNjQtY2RhMS00MzQ0LWFjNTgtZmIwMTUyZDFjOTBiXkEyXkFqcGdeQXVyNDY3MTQwMzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,150,tt6921524,series,,,,,True,N/A,
213,David Brent: Life on the Road,2016,N/A,10 Feb 2017,96 min,"Comedy, Music",Ricky Gervais,Ricky Gervais,"Ricky Gervais, Rob Jarvis, Abbie Murphy, Mandeep Dhillon","A camera crew catches up with David Brent, the former star of the fictional British TV series The Office (2001), as he now fancies himself a rock star on the road.",English,"UK, USA",1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5MzI1ODE4NV5BMl5BanBnXkFtZTgwOTAwMDE0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.3,"17,117",tt3137630,movie,10 Feb 2017,"$2,348,170",Netflix,N/A,True,,
214,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
