,Unnamed: 0,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons,rotten_tomatoes_rating
919,919,The Great Gatsby,2013,PG-13,10 May 2013,143 min,"Drama, Romance",Baz Luhrmann,"Baz Luhrmann (screenplay), Craig Pearce (screenplay), F. Scott Fitzgerald (based on the novel by)","Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",English,"Australia, USA",Won 2 Oscars. Another 48 wins & 85 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,7.2,"453,093",tt1343092,movie,27 Aug 2013,"$144,812,796",Warner Bros. Pictures,,True,,,48%
920,920,The Art of Racing in the Rain,2019,PG,09 Aug 2019,109 min,"Comedy, Drama, Romance, Sport",Simon Curtis,"Mark Bomback (screenplay by), Garth Stein (based on the novel by)","Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","English, Italian",USA,,https://m.media-amazon.com/images/M/MV5BZjU5ZTYzM2MtNDNhYi00YjU1LWE4MzEtODc0NmNlODZlMjlhXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,7.5,"15,297",tt1478839,movie,29 Oct 2019,,20th Century Fox,,True,,,43%
922,922,See You Yesterday,2019,TV-MA,17 May 2019,84 min,"Action, Adventure, Crime, Drama, Sci-Fi, Thriller",Stefon Bristol,"Fredrica Bailey, Stefon Bristol","Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake","Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.",English,USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzU3ODc1NzAtZWIwYy00YTdjLWEwZDItY2Y1ZGIyMmY0Yzc4XkEyXkFqcGdeQXVyMjIxNjgxNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,5.1,"7,544",tt8743064,movie,17 May 2019,,Netflix,,True,,,95%
923,923,It's Bruno!,2019–,,17 May 2019,15 min,Comedy,,Solvan Naim,"Solvan Naim, Bruno, Sam Eliad, Donnell Rawlings","An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno, and making sure the neighbors show his pooch the proper respect.",English,USA,,https://m.media-amazon.com/images/M/MV5BZmY1NjAwMmMtNzYwYi00ZmI0LTgxZDYtNWY1OGYyNmFiOTllXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"2,050",tt10186846,series,,,,,True,,1.0,-
924,924,Saverio Raimondo: Il Satiro Parlante,2019,,17 May 2019,53 min,Comedy,,,Saverio Raimondo,,Italian,Italy,,https://m.media-amazon.com/images/M/MV5BOWNiODJkYTYtOGUyZC00ZTYxLWJiZjMtOGZiNzlmMzg0NjVlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,23,tt10242216,movie,,,,,True,,,-
927,927,1994,2019–,,04 Oct 2019,,Drama,,"Alessandro Fabbri, Ludovica Rampoldi, Stefano Sardo","Stefano Accorsi, Guido Caprino, Miriam Leone, Paolo Mazzarelli",Italian drama based in the turbulent political landscape of 1990s Italy.,Italian,"Italy, Germany",,https://m.media-amazon.com/images/M/MV5BZDcwMzg1OTgtYmZhNS00YjUzLWE5OTUtNmU4MThlMmFlNDQwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,292,tt8736278,series,,,,,True,,1.0,-
931,931,Emilio Guzman: Alle mensen verzamelen,2017,,30 Apr 2017,50 min,"Documentary, Comedy","Laura van Dolron, Jan Gitsels",Emilio Guzman (script),Emilio Guzman,,Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BMGU0MjY5ZjEtMmQ2Ni00NzNmLWFmYjYtNTQ1ZTQyN2U3ZDI3XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,6,tt6847658,movie,,,,,True,,,-
932,932,Ronald Goedemondt: Geen sprake van,2018,,19 May 2018,100 min,Comedy,"Joep Krijnen, Martijn Bouwman",Ronald Goedemondt,Ronald Goedemondt,Stand-up comedian Ronald Goedemondt is in his show 'Geen sprake van' praised for its infectious absurdism and fresh logic. His sixth program again contains an inimitable stream of well-placed jokes.,Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BOGJjNDBiZTAtNTIyYy00NWZmLTg0YTUtZDdiOTgwYWNkMTc4XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,94,tt8443772,movie,,,,,True,,,-
933,933,Najib Amhali: I Amhali,2016,,18 Nov 2016,128 min,"Documentary, Comedy","Doesjka van Hoogdalem, Titus Tiel Groenestege",Najib Amhali,Najib Amhali,,Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BNmFjOTAyNWUtMWI4Ny00MDU4LWI3MjYtZTgzN2FlNDM3YmJkL2ltYWdlXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,48,tt6414284,movie,,,,,True,,,-
934,934,Tim Fransen: Het failliet van de moderne tijd,2017,,12 Aug 2017,94 min,"Documentary, Comedy","Norbert ter Hall, Daniël Samkalden",Tim Fransen,Tim Fransen,,Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BYTBjZjBhNWEtNjIwNS00MmQzLWIzZDUtZTk4M2NkMzBjNWU0XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,16,tt6992620,movie,,,,,True,,,-
935,935,Pieter Derks: Spot,2018,,26 May 2018,80 min,,"Jessica Borst, Joep Krijnen",Pieter Derks (text),Pieter Derks,,Dutch,Netherlands,,,[],,,,tt8555476,movie,,,,,True,,,-
938,938,Lenette van Dongen: Tegenwind,2017,,23 Dec 2017,60 min,"Documentary, Comedy","Pieter Tiddens, Titus Tiel Groenestege",Lenette van Dongen,Lenette van Dongen,,Dutch,Netherlands,,,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",,8.2,6,tt7599480,movie,,,,,True,,,-
939,939,Good Sam,2019,TV-PG,16 May 2019,89 min,Comedy,Kate Melville,"Dete Meserve (based on the novel by), Teena Booth, Dete Meserve","Tiya Sircar, Chad Connell, Marco Grazzini, Jesse Camacho","When a mysterious good samaritan leaves $100,000 cash on seemingly random doorsteps, New York City news reporter Kate Bradley sets out to discover the true identity and motive of ""Good Sam.""",English,USA,,https://m.media-amazon.com/images/M/MV5BNzcxMDM0NWItMTVmYS00ODFkLWFlZTctYjZhMGM4ZTg3ODJiXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,5.6,"2,035",tt9032888,movie,16 May 2019,,,,True,,,50%
942,942,Wolfblood,2012–2017,TV-PG,10 Sep 2012,30 min,"Family, Fantasy",,Debbie Moon,"Gabrielle Green, Leona Vaughan, Shorelle Hepkin, Mark Fleischmann","Maddy Smith and her family are the only wolfbloods in Stoneybridge, which is a well-kept secret. They lead a peaceful life until Rhydian, a wolfblood, arrives and triggers chaos.",English,UK,4 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BN2YxYjc0ZWYtYzE5Yy00NmViLTlhNDktZWFjODg0YmYyYTZiL2ltYWdlXkEyXkFqcGdeQXVyNDM1NjcwNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"2,914",tt2321596,series,,,,,True,,5.0,-
943,943,Still Laugh-In: The Stars Celebrate,2019,TV-MA,14 May 2019,60 min,Comedy,,Jon Macks,"Michael Douglas, Tiffany Haddish, Rita Moreno, Neil Patrick Harris","Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.",English,USA,,https://m.media-amazon.com/images/M/MV5BZWFiOThkOGItODJhYi00ODM3LWI5MjItYjY2ZTNkNDQ2ZjM2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,453,tt9880234,movie,14 May 2019,,Netflix,,True,,,-
944,944,Revisions,2019–,,10 Jan 2019,36 min,"Animation, Action, Sci-Fi",,,"Bryce Papenbrook, Reba Buhr, Kyle McCarley, Cherami Leigh","Daisuke Toujima is a second-year high school student who was abducted when he was young. He was involved in a special phenomenon called Shibuya Drift with his childhood friends Gai, Ru, ...",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BMzZhMzA4MDktMDU4Ny00MTg4LThlMzAtY2JhMThmOGYwYTM1XkEyXkFqcGdeQXVyOTk0NjIyMTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,362,tt9522354,series,,,,,True,,1.0,-
945,945,Weed the People,2018,,26 Oct 2018,97 min,Documentary,Abby Epstein,,"Mara Gordon, Tracy Ryan, Chico Ryder, Angela Smith","Patients suffering from cancer, and their families, struggle against mean-spirited legislation, and the proclaimed goal of Attorney General Jeff Sessions to roll back marijuana reforms in states such as California.",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTk0Njk4Njg4NV5BMl5BanBnXkFtZTgwODg4MzA0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.0,203,tt7968976,movie,,,Mangurama Consciousness Films,,True,,,100
946,946,Malibu Rescue,2019,,13 May 2019,68 min,"Action, Adventure, Comedy, Family",Savage Steve Holland,"Jed Elinoff, Savage Steve Holland (creator), Scott McAboy (creator), Scott Thomas","Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly","Aspiring junior lifeguards compete against snobby local kids for bragging rights and the ultimate tower at Malibu Beach, Calif.",English,USA,,https://m.media-amazon.com/images/M/MV5BZDAwZWVhOTAtNmExMS00MTU3LWJmZTgtY2U4NjIyY2E1ZThhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,4.7,609,tt9228950,movie,13 May 2019,,Netflix,,True,,,-
947,947,SuperFly,2018,R,13 Jun 2018,116 min,"Action, Crime, Thriller",Director X.,Alex Tse (screenplay by),"Trevor Jackson, Jason Mitchell, Michael Kenneth Williams, Lex Scott Davis","With retirement on his mind, a successful young drug dealer sets up one last big job, while dealing with trigger-happy colleagues and the police.","English, Spanish, Cantonese",USA,,https://m.media-amazon.com/images/M/MV5BMWU1Yzc0ZDUtNGFlZC00ZTFkLWIxMTEtZTQ5ZTliYzIxZWI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,5.1,"5,552",tt7690670,movie,,,,,True,,,-
948,948,The Mechanism,2018–,TV-MA,23 Mar 2018,41 min,"Crime, Drama, Thriller",,José Padilha,"Caroline Abras, Selton Mello, Enrique Diaz, Jonathan Haagensen",Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BYzE2MzVhYzMtZDUxNy00MTM2LWIzYTAtNTViNTIzOGUxZTRlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"34,634",tt6873658,series,,,,,True,,1.0,-
949,949,Easy,2016–,TV-MA,22 Sep 2016,30 min,Comedy,,Joe Swanberg,"Michael Chernus, Jane Adams, Elizabeth Reaser, Jacqueline Toboni","Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.",English,USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMjA3MTAyNzUyNF5BMl5BanBnXkFtZTgwNDk4NzgwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"10,660",tt5562056,series,,,,,True,,3.0,-
950,950,Wine Country,2019,R,10 May 2019,103 min,Comedy,Amy Poehler,"Liz Cackowski, Emily Spivey","Amy Poehler, Rachel Dratch, Ana Gasteyer, Maya Rudolph","During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjIzNzU3MmUtZGY1OS00MWRjLTlkYzItNjgzYjljNmJiNGZjXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,5.4,"16,193",tt8169446,movie,10 May 2019,,Netflix,,True,,,66%
951,951,The Society,2019–,TV-MA,10 May 2019,58 min,"Drama, Mystery, Sci-Fi, Thriller",,Christopher Keyser,"Kathryn Newton, Gideon Adlon, Sean Berdy, Natasha Liu Bordizzo","When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",English,USA,,https://m.media-amazon.com/images/M/MV5BYTYwMWRjNmYtMzAyNy00OTJkLWI1ZjktNTQ1OTM1ODYxNDY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,"14,471",tt8778064,series,,,,,True,,1.0,-
952,952,Whitney,2018,R,05 Jul 2018,120 min,"Documentary, Biography, Music",Kevin Macdonald,Kevin Macdonald,"Whitney Houston, Ellen White, Michael Houston, Cissy Houston",An in-depth look at the life and music of Whitney Houston.,English,"UK, USA",1 win & 14 nominations.,https://m.media-amazon.com/images/M/MV5BODBiZTQ2NzctMTE4NS00YjE3LTk5MWMtYWE0NDE0ZDE0YTJjXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.2,"5,717",tt5740866,movie,16 Oct 2018,,Miramax and Roadside Attractions,,True,,,88%
953,953,Dry Martina,2018,,15 Mar 2019,95 min,"Comedy, Drama",Che Sandoval,Che Sandoval,"Antonella Costa, Patricio Contreras, Dindi Jane, Pedro Campos","Martina was a famous singer in Argentina during the late 90s, who's become completely frigid and disenchanted with love. The arrival of a so-called sister, alongside her attractive boyfriend, compel Martina to go to Chile with one objective in mind: getting back her libido.",Spanish,"Chile, Argentina",5 nominations.,https://m.media-amazon.com/images/M/MV5BZTczOTNlNDAtYzc1NC00ZGU0LWFlNWEtZTYzMDQ3ZjRiZTI5XkEyXkFqcGdeQXVyODQxOTIxODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,5.9,467,tt6312802,movie,,,,,True,,,50%
955,955,Jailbirds,2019–,,10 May 2019,45 min,Reality-TV,,,"Gaylon Beason, Taylor Coatney, Andrea Gunderson, Sgt. Hernandez","At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life - and love - on the inside.",,,,https://m.media-amazon.com/images/M/MV5BMGEyYjNlYzUtMWU2MC00ZjNkLWJlZTMtM2YxZTZmZjQyM2JiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,675,tt10243628,series,,,,,True,,1.0,-
956,956,Shéhérazade,2018,TV-MA,17 May 2019,109 min,"Drama, Romance, Thriller",Jean-Bernard Marlin,"Jean-Bernard Marlin (screenplay), Catherine Paillé (screenplay)","Dylan Robert, Kenza Fortas, Idir Azougli, Lisa Amedjout","Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. This is where he meets Shéhérazade.",French,France,7 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BYmQwYTMwMzMtNWE0YS00M2MxLWI4MjYtOWM3M2Y5ZWUyZmNiXkEyXkFqcGdeQXVyODQxNzM2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.1,"1,206",tt8459250,movie,,,,,True,,,-
957,957,El Recluso,2018–,,25 Sep 2018,60 min,"Drama, Thriller",,,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar",An American SPEC OPS infiltrates one of Mexico's toughest prisons in search of information on the whereabouts of an American politician's daughter.,"English, Spanish",Mexico,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTUyNzc1YWMtZjY0Yi00MGE0LThiODYtZWRlZTgwYTRiNDM0XkEyXkFqcGdeQXVyMjQ2MDQwNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"1,541",tt8452308,series,,,,,True,,1.0,-
960,960,Lion's Heart,2013,,15 Aug 2013,94 min,"Comedy, Drama, Romance",Marcos Carnevale,"Betiana Blum (idea), Marcos Carnevale (idea), Marcos Carnevale","Guillermo Francella, Julieta Díaz, Mauricio Dayub, Jorgelina Aruzzi","After she loses her mobile phone, a lawyer receives a call from the person who found it. They talk and hit it off very quickly. But she's in shock when she sees that he's very short.",Spanish,"Argentina, Brazil",1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYmYwNjA4YjktNDE4Mi00Yjc3LWI1YTYtNmNhZTM1MzI1ZmU1XkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,"2,352",tt2948472,movie,,,Aleph Media,,True,,,-
961,961,Tattah,2013,,05 May 2013,115 min,"Action, Comedy, Drama",Sameh Abdelaziz,"Mohamed Al Nabawy, Sameh Ser El Khetm","Ragaa Al-Gidawy, Bousy, Nabil Eissa, Samir Ghanem","A young poor guy who sell newspapers for a living, and his nephew who lives with him gets to be taught how to use a computer and browse the Internet and communicate with others. Soon enough...",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BZDQ4OTU4NzItN2U0ZS00OGY4LWEzMmEtNzRlYWY4YTVlMzY5XkEyXkFqcGdeQXVyNDkxMzY0Mjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,5.0,150,tt2965820,movie,,,,,True,,,-
962,962,Regatta,2015,,21 Jan 2015,99 min,"Action, Crime, Drama",Mohamed Samy,"Moatz Fteha, Mohamed Samy","Amr Sad, Ilham Shaheen, Rania Youssef, Walid Fawaz","Things go wrong for Regatta, Amr Sad, after acquiring a visa to Italy, getting things wrong with the authorities, his brother accidentally falls to his death and his sister-in-law steals ...",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BNzY5NTlkM2MtYWJkYi00Mzc0LWE0ZTAtMGZkZWNhODNjZmY4XkEyXkFqcGdeQXVyNjcyNjcxMzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,75,tt5888866,movie,,,,,True,,,-
964,964,The Lucifer Effect,2017,,05 May 2017,,"Documentary, Horror, Thriller",Tim Burke,,Anouska O'Hara,"The film centers around 8 people, from all warps of life, who thought they had bought a 'movie role' in a horror film, only to be locked inside the haunted mental asylum to test ""The Lucifer Effect"" experiment.",English,"USA, UK",,https://m.media-amazon.com/images/M/MV5BY2I0MmMwYzktZGM3YS00NmVjLTkzMmUtZmZlMzViZTllYTQyL2ltYWdlXkEyXkFqcGdeQXVyMjY5NjkxOTM@._V1_SX300.jpg,[],,,,tt2803784,movie,,,,,True,,,-
967,967,Last Breath,2019,,05 Apr 2019,90 min,Documentary,"Richard da Costa, Alex Parkinson",Alex Parkinson,"Duncan Allcock, Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson",A deep sea diver is stranded on the seabed with 5 minutes of oxygen and no hope of rescue. With access to amazing archive this is the story of one man's impossible fight for survival.,English,"UK, Belgium, Sweden",,https://m.media-amazon.com/images/M/MV5BN2Q1YjViYmQtNzJkOC00OGZhLWFmM2EtMmY2MzYzMGU3NDBmXkEyXkFqcGdeQXVyMTUyODIxOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,7.7,"2,646",tt9056818,movie,,,Dogwoof,,True,,,92%
968,968,Wild Card,2015,R,14 Jan 2015,92 min,"Action, Crime, Drama, Thriller",Simon West,"William Goldman (based on the novel ""Heat"" by), William Goldman (screenplay by)","Jason Statham, Michael Angarano, Dominik Garcia, Hope Davis","When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing.",English,USA,,https://m.media-amazon.com/images/M/MV5BMjAyNjkyOTgzNF5BMl5BanBnXkFtZTgwMTk0MDc2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,5.6,"48,831",tt2231253,movie,31 Mar 2015,,The Film Arcade,,True,,,32%
969,969,Searching,2018,PG-13,31 Aug 2018,102 min,"Drama, Mystery, Thriller",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","John Cho, Sara Sohn, Alex Jayne Go, Megan Liu","After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",English,"Russia, USA",5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMjIwOTA3NDI3MF5BMl5BanBnXkFtZTgwNzIzMzA5NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71.0,7.6,"120,321",tt7668870,movie,27 Nov 2018,,Screen Gems,,True,,,92%
970,970,Hans Teeuwen: Spiksplinter,2011,,01 Nov 2011,110 min,"Documentary, Comedy",Diederik Ebbinge,Hans Teeuwen,Hans Teeuwen,"Hard pruning jokes are interspersed with musical interludes, a magic trick and Teeuwen's unique improvisations in Teeuwen's sixth stand-up show Spiksplinter.",Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BN2ZjOWQ5MjctZTA2Yy00YjU3LWIwZmItZDcyNDUyYzQ2YTBlXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,249,tt2133233,movie,,,,,True,,,-
971,971,Daniël Arends: Blessuretijd,2013,,14 Jan 2013,61 min,Documentary,Doesjka van Hoogdalem,Daniël Arends,Daniël Arends,"In its third stand-up show Daniel Arends goes into the murky world where doing well is directly linked to self-interest and wrongdoing is a hobby. Arends offers consolation, asks questions and gives answers.",Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BMjNkODViNWYtZDI3NS00NjBkLWFmODMtMTFmYjcxZmNjZDlmXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,27,tt5112346,movie,,,,,True,,,-
972,972,Jochem Myjer: De rust zelve,2010,,19 Dec 2010,93 min,Documentary,Joep Krijnen,Jochem Myjer,Jochem Myjer,Meet Jochem Myjer's various friends in Leiden and the people who he shares the city with.,Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BZDY2MzQ2MzItMTg2Ny00MzBiLThhMmQtOGVjN2Q0YmM0MTNkXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,131,tt2282757,movie,,,,,True,,,-
974,974,Ronald Goedemondt: De R van Ronald,2014,,01 Dec 2014,90 min,"Documentary, Comedy","Joep Krijnen, Martijn Bouwman",Ronald Goedemondt (text),Ronald Goedemondt,Goedemondt now understands that freedom and security are polar opposites and questions himself 'What happens when you're more focused on letting go and get rid of control and self-affirmation?',Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BNmZkNmZlNmQtNTliZS00ZTI2LThkNDYtZDNkMjYzZjk3Y2UzXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,179,tt5620110,movie,,,,,True,,,-
976,976,Daniël Arends: Carte blanche,2016,,14 Oct 2016,82 min,"Documentary, Comedy","Joeri Tijdink, Doesjka van Hoogdalem",Daniël Arends,Daniël Arends,"Daniël Arends talks about themes such as identity, hypocrisy and fantasy. Arends defeats myths and creates them just as easily. Carte Blanche is perhaps his strongest show so far because the confusion is as big as the wonder.",Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BOGFjZmNhN2QtZjA2OS00ZmY2LWIxNzQtYzVjMmY5YzY3OTlkXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,125,tt6106394,movie,,,,,True,,,-
977,977,Theo Maassen: Vankwaadtoterger,2017,,02 Sep 2017,87 min,"Documentary, Comedy",Norbert ter Hall,Theo Maassen,Theo Maassen,"Theo Maassen is back. In all its anger, indignation, amazement about so much stupidity and lack of empathy in society, and advocates understanding and reconciliation.",Dutch,Netherlands,,https://m.media-amazon.com/images/M/MV5BM2U0OWMxM2UtZjdjNC00NTU5LThiYzItZTI5ZDk3YjkyY2RhXkEyXkFqcGdeQXVyODAyOTM3NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,128,tt7260934,movie,,,,,True,,,-
